,,,,,,,Daily Price Arrival Report-01-06-2026 to 08-07-2026 for Andhra Pradesh,,,,,,
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,200.00","1,000.00",Rs./Quintal,6.00,Metric Tonnes,15-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,300.00","1,100.00",Rs./Quintal,7.40,Metric Tonnes,14-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,200.00",Rs./Quintal,5.10,Metric Tonnes,13-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,600.00,"1,000.00",800.00,Rs./Quintal,4.20,Metric Tonnes,12-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,300.00","1,100.00",Rs./Quintal,6.00,Metric Tonnes,11-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,200.00",Rs./Quintal,3.50,Metric Tonnes,10-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,000.00","1,400.00","1,200.00",Rs./Quintal,2.60,Metric Tonnes,09-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,400.00","2,000.00","1,800.00",Rs./Quintal,4.70,Metric Tonnes,08-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,200.00",Rs./Quintal,5.60,Metric Tonnes,08-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,500.00","2,200.00","2,000.00",Rs./Quintal,4.50,Metric Tonnes,07-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,100.00",Rs./Quintal,5.70,Metric Tonnes,07-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,500.00","2,200.00","2,000.00",Rs./Quintal,4.20,Metric Tonnes,06-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,400.00","1,100.00",Rs./Quintal,5.60,Metric Tonnes,06-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,600.00,"1,000.00",800.00,Rs./Quintal,4.90,Metric Tonnes,05-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,400.00","1,100.00",Rs./Quintal,10.30,Metric Tonnes,05-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,000.00","1,500.00","1,200.00",Rs./Quintal,4.50,Metric Tonnes,04-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,000.00","1,500.00","1,200.00",Rs./Quintal,8.50,Metric Tonnes,04-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,700.00,"1,100.00",900.00,Rs./Quintal,3.80,Metric Tonnes,03-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,300.00","1,000.00",Rs./Quintal,4.80,Metric Tonnes,02-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,200.00","1,600.00","1,400.00",Rs./Quintal,5.30,Metric Tonnes,02-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,300.00",Rs./Quintal,6.10,Metric Tonnes,01-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,200.00","1,000.00",Rs./Quintal,7.80,Metric Tonnes,01-06-2026

