,,,,,,,Daily Price Arrival Report-01-06-2026 to 08-07-2026 for Andhra Pradesh,,,,,,
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"2,700.00","4,000.00","3,500.00",Rs./Quintal,1.90,Metric Tonnes,08-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"3,000.00","4,000.00","3,500.00",Rs./Quintal,2.60,Metric Tonnes,08-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"2,500.00","3,500.00","3,000.00",Rs./Quintal,2.10,Metric Tonnes,07-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"2,500.00","4,000.00","3,500.00",Rs./Quintal,3.70,Metric Tonnes,07-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"3,000.00","4,000.00","3,500.00",Rs./Quintal,2.40,Metric Tonnes,06-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"2,000.00","3,000.00","2,500.00",Rs./Quintal,1.60,Metric Tonnes,06-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"3,000.00","4,000.00","3,500.00",Rs./Quintal,2.20,Metric Tonnes,05-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"2,100.00","3,000.00","2,600.00",Rs./Quintal,4.20,Metric Tonnes,05-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"3,000.00","4,000.00","3,500.00",Rs./Quintal,2.10,Metric Tonnes,04-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"2,200.00","3,000.00","2,600.00",Rs./Quintal,2.00,Metric Tonnes,04-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"3,000.00","4,000.00","3,500.00",Rs./Quintal,1.80,Metric Tonnes,03-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"3,000.00","5,000.00","4,000.00",Rs./Quintal,1.70,Metric Tonnes,02-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"2,000.00","2,500.00","2,200.00",Rs./Quintal,1.80,Metric Tonnes,02-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"4,500.00","6,000.00","5,500.00",Rs./Quintal,2.50,Metric Tonnes,01-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Brinjal,Brinjal,FAQ,"2,000.00","3,000.00","2,500.00",Rs./Quintal,2.60,Metric Tonnes,01-06-2026

